"","rt","story","blocknum","name","gender","trialnum","qnum","time","qtype","response","workerid","language","languageFree","age","ethnicity","education","studyQuestionGuess","comments","minutes"
"57",6593,"insomnia",5,"Kim","male",36,0,473637,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"58",24801,"insomnia",5,"David","male",37,1,498439,"explanation","he was focused on a game (which he was worried about)",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"59",3932,"insomnia",5,"David","male",38,2,502373,"probability","0.27",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"60",3932,"insomnia",5,"David","male",38,2,502373,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"61",6579,"insomnia",5,"Alexander","male",39,3,508955,"probability","0.59",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"62",6579,"insomnia",5,"Alexander","male",39,3,508955,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"63",6750,"insomnia",5,"Ian","male",40,4,515708,"probability","0.5",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"64",6750,"insomnia",5,"Ian","male",40,4,515708,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"65",3514,"insomnia",5,"Jeremy","male",41,5,519224,"probability","0.32",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"66",3514,"insomnia",5,"Jeremy","male",41,5,519224,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"67",4173,"coffee",6,"Shannon","male",43,0,523400,"probability","0.63",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"68",4173,"coffee",6,"Shannon","male",43,0,523400,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"69",8853,"coffee",6,"Jeff","male",44,1,532255,"explanation","the coffee was decaf",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"70",3173,"coffee",6,"Jeff","male",45,2,535431,"probability","0.39",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"71",3173,"coffee",6,"Jeff","male",45,2,535431,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"72",5373,"coffee",6,"Madison","male",46,3,540807,"probability","0.49",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"73",5373,"coffee",6,"Madison","male",46,3,540807,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"74",6172,"coffee",6,"Trevor","male",47,4,546982,"probability","0.63",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"75",6172,"coffee",6,"Trevor","male",47,4,546982,"ungrammatical","TRUE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"76",3834,"coffee",6,"Timothy","male",48,5,550818,"probability","0.38",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"77",3834,"coffee",6,"Timothy","male",48,5,550818,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"78",3668,"fitness",7,"Thomas","male",50,0,554491,"probability","0.81",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"79",3668,"fitness",7,"Thomas","male",50,0,554491,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"80",49975,"fitness",7,"Michelle","male",51,1,604468,"explanation","she only jogged for five minutes at a time",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"81",8472,"fitness",7,"Michelle","male",52,2,612943,"probability","0.45",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"82",8472,"fitness",7,"Michelle","male",52,2,612943,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"83",5420,"fitness",7,"Stephanie","male",53,3,618366,"probability","0.78",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"84",5420,"fitness",7,"Stephanie","male",53,3,618366,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"85",5109,"fitness",7,"Nathan","male",54,4,623477,"probability","0.84",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"86",5109,"fitness",7,"Nathan","male",54,4,623477,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"87",3198,"fitness",7,"Dustin","male",55,5,626677,"probability","0.45",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"88",3198,"fitness",7,"Dustin","male",55,5,626677,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"89",15961,"reading",8,"Anthony","male",57,0,642642,"probability","0.63",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"90",15961,"reading",8,"Anthony","male",57,0,642642,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"91",8484,"reading",8,"Allison","male",58,1,651128,"explanation","she read a very simple book",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"92",3858,"reading",8,"Allison","male",59,2,654989,"probability","0.44",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"93",3858,"reading",8,"Allison","male",59,2,654989,"ungrammatical",NA,1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"94",13555,"reading",8,"Amanda","male",60,3,668547,"probability","0.61",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"95",13555,"reading",8,"Amanda","male",60,3,668547,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"96",7138,"reading",8,"Ryan","male",61,4,675691,"probability","0.78",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"97",7138,"reading",8,"Ryan","male",61,4,675691,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"98",2960,"reading",8,"Zach","male",62,5,678654,"probability","0.5",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"99",2960,"reading",8,"Zach","male",62,5,678654,"ungrammatical","FALSE",1,"eng","","26","White","4","How people think about causality, maybe?","No.",11.6211166666667
"100",5729,"reading",0,"Nicholas","male",1,0,6990,"probability","0.5",2,"eng","","24","White","2","Perception","No",4.36276666666667
"101",5729,"reading",0,"Nicholas","male",1,0,6990,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"102",7945,"reading",0,"Adam","male",2,1,14939,"explanation","He is smart",2,"eng","","24","White","2","Perception","No",4.36276666666667
"103",3660,"reading",0,"Adam","male",3,2,18608,"probability","0.5",2,"eng","","24","White","2","Perception","No",4.36276666666667
"104",3660,"reading",0,"Adam","male",3,2,18608,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"105",8710,"reading",0,"Melissa","male",4,3,27325,"probability","0.43",2,"eng","","24","White","2","Perception","No",4.36276666666667
"106",8710,"reading",0,"Melissa","male",4,3,27325,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"107",1756,"reading",0,"Ethan","male",5,4,29086,"probability","0.52",2,"eng","","24","White","2","Perception","No",4.36276666666667
"108",1756,"reading",0,"Ethan","male",5,4,29086,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"109",1632,"reading",0,"Jeff","male",6,5,30722,"probability","0.47",2,"eng","","24","White","2","Perception","No",4.36276666666667
"110",1632,"reading",0,"Jeff","male",6,5,30722,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"111",5665,"Japan",1,"Brooke","male",8,0,36394,"probability","0.73",2,"eng","","24","White","2","Perception","No",4.36276666666667
"112",5665,"Japan",1,"Brooke","male",8,0,36394,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"113",8534,"Japan",1,"Matthew","male",9,1,44930,"explanation","He was from japan",2,"eng","","24","White","2","Perception","No",4.36276666666667
"114",4787,"Japan",1,"Matthew","male",10,2,49721,"probability","0.98",2,"eng","","24","White","2","Perception","No",4.36276666666667
"115",4787,"Japan",1,"Matthew","male",10,2,49721,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"116",2081,"Japan",1,"Luis","male",11,3,51806,"probability","0.62",2,"eng","","24","White","2","Perception","No",4.36276666666667
"117",2081,"Japan",1,"Luis","male",11,3,51806,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"118",1792,"Japan",1,"Cameron","male",12,4,53602,"probability","0.5",2,"eng","","24","White","2","Perception","No",4.36276666666667
"119",1792,"Japan",1,"Cameron","male",12,4,53602,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"120",2157,"Japan",1,"Jacqueline","male",13,5,55762,"probability","0.65",2,"eng","","24","White","2","Perception","No",4.36276666666667
"121",2157,"Japan",1,"Jacqueline","male",13,5,55762,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"122",8393,"fitness",2,"Kristen","male",15,0,64161,"probability","0.98",2,"eng","","24","White","2","Perception","No",4.36276666666667
"123",8393,"fitness",2,"Kristen","male",15,0,64161,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"124",7036,"fitness",2,"Timothy","male",16,1,71200,"explanation","He ate too much",2,"eng","","24","White","2","Perception","No",4.36276666666667
"125",4301,"fitness",2,"Timothy","male",17,2,75504,"probability","0.86",2,"eng","","24","White","2","Perception","No",4.36276666666667
"126",4301,"fitness",2,"Timothy","male",17,2,75504,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"127",2000,"fitness",2,"Joseph","male",18,3,77508,"probability","0.63",2,"eng","","24","White","2","Perception","No",4.36276666666667
"128",2000,"fitness",2,"Joseph","male",18,3,77508,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"129",1548,"fitness",2,"Samantha","male",19,4,79060,"probability","0.55",2,"eng","","24","White","2","Perception","No",4.36276666666667
"130",1548,"fitness",2,"Samantha","male",19,4,79060,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"131",1023,"fitness",2,"Angela","male",20,5,80089,"probability","0.49",2,"eng","","24","White","2","Perception","No",4.36276666666667
"132",1023,"fitness",2,"Angela","male",20,5,80089,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"133",37074,"insomnia",3,"Lauren","male",22,0,117168,"probability","0.54",2,"eng","","24","White","2","Perception","No",4.36276666666667
"134",37074,"insomnia",3,"Lauren","male",22,0,117168,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"135",13515,"insomnia",3,"Nathan","male",23,1,130686,"explanation","He had narcolepsy",2,"eng","","24","White","2","Perception","No",4.36276666666667
"136",2635,"insomnia",3,"Nathan","male",24,2,133324,"probability","0.47",2,"eng","","24","White","2","Perception","No",4.36276666666667
"137",2635,"insomnia",3,"Nathan","male",24,2,133324,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"138",4340,"insomnia",3,"Noah","male",25,3,137668,"probability","0.53",2,"eng","","24","White","2","Perception","No",4.36276666666667
"139",4340,"insomnia",3,"Noah","male",25,3,137668,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"140",1503,"insomnia",3,"Paul","male",26,4,139175,"probability","0.34",2,"eng","","24","White","2","Perception","No",4.36276666666667
"141",1503,"insomnia",3,"Paul","male",26,4,139175,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"142",1870,"insomnia",3,"Jennifer","male",27,5,141049,"probability","0.54",2,"eng","","24","White","2","Perception","No",4.36276666666667
"143",1870,"insomnia",3,"Jennifer","male",27,5,141049,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"144",1596,"guitar",4,"Kathryn","male",29,0,142649,"probability","0.53",2,"eng","","24","White","2","Perception","No",4.36276666666667
"145",1596,"guitar",4,"Kathryn","male",29,0,142649,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"146",5808,"guitar",4,"Logan","male",30,1,148458,"explanation","He didnt want to ",2,"eng","","24","White","2","Perception","No",4.36276666666667
"147",2678,"guitar",4,"Logan","male",31,2,151140,"probability","0.73",2,"eng","","24","White","2","Perception","No",4.36276666666667
"148",2678,"guitar",4,"Logan","male",31,2,151140,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"149",1529,"guitar",4,"Madison","male",32,3,152676,"probability","0.56",2,"eng","","24","White","2","Perception","No",4.36276666666667
"150",1529,"guitar",4,"Madison","male",32,3,152676,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"151",1600,"guitar",4,"Ashley","male",33,4,154281,"probability","0.54",2,"eng","","24","White","2","Perception","No",4.36276666666667
"152",1600,"guitar",4,"Ashley","male",33,4,154281,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"153",1260,"guitar",4,"Samuel","male",34,5,155544,"probability","0.68",2,"eng","","24","White","2","Perception","No",4.36276666666667
"154",1260,"guitar",4,"Samuel","male",34,5,155544,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"155",9268,"painting",5,"Corey","male",36,0,164816,"probability","0.82",2,"eng","","24","White","2","Perception","No",4.36276666666667
"156",9268,"painting",5,"Corey","male",36,0,164816,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"157",5478,"painting",5,"Sean","male",37,1,170296,"explanation","He was just no good",2,"eng","","24","White","2","Perception","No",4.36276666666667
"158",2405,"painting",5,"Sean","male",38,2,172704,"probability","0.57",2,"eng","","24","White","2","Perception","No",4.36276666666667
"159",2405,"painting",5,"Sean","male",38,2,172704,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"160",1903,"painting",5,"Austin","male",39,3,174612,"probability","0.65",2,"eng","","24","White","2","Perception","No",4.36276666666667
"161",1903,"painting",5,"Austin","male",39,3,174612,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"162",1524,"painting",5,"Brian","male",40,4,176140,"probability","0.56",2,"eng","","24","White","2","Perception","No",4.36276666666667
"163",1524,"painting",5,"Brian","male",40,4,176140,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"164",2272,"painting",5,"Travis","male",41,5,178416,"probability","0.52",2,"eng","","24","White","2","Perception","No",4.36276666666667
"165",2272,"painting",5,"Travis","male",41,5,178416,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"166",8995,"coffee",6,"Destiny","male",43,0,187416,"probability","0.68",2,"eng","","24","White","2","Perception","No",4.36276666666667
"167",8995,"coffee",6,"Destiny","male",43,0,187416,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"168",10472,"coffee",6,"Trevor","male",44,1,197890,"explanation","used to caffine",2,"eng","","24","White","2","Perception","No",4.36276666666667
"169",2183,"coffee",6,"Trevor","male",45,2,200076,"probability","0.58",2,"eng","","24","White","2","Perception","No",4.36276666666667
"170",2183,"coffee",6,"Trevor","male",45,2,200076,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"171",2807,"coffee",6,"Patrick","male",46,3,202888,"probability","0.66",2,"eng","","24","White","2","Perception","No",4.36276666666667
"172",2807,"coffee",6,"Patrick","male",46,3,202888,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"173",1456,"coffee",6,"Nicole","male",47,4,204347,"probability","0.49",2,"eng","","24","White","2","Perception","No",4.36276666666667
"174",1456,"coffee",6,"Nicole","male",47,4,204347,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"175",1374,"coffee",6,"Christina","male",48,5,205724,"probability","0.6",2,"eng","","24","White","2","Perception","No",4.36276666666667
"176",1374,"coffee",6,"Christina","male",48,5,205724,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"177",2542,"cooking",7,"Jared","male",50,0,208272,"probability","0.53",2,"eng","","24","White","2","Perception","No",4.36276666666667
"178",2542,"cooking",7,"Jared","male",50,0,208272,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"179",6539,"cooking",7,"Dustin","male",51,1,214813,"explanation","He didnt work hard",2,"eng","","24","White","2","Perception","No",4.36276666666667
"180",3299,"cooking",7,"Dustin","male",52,2,218116,"probability","0.57",2,"eng","","24","White","2","Perception","No",4.36276666666667
"181",3299,"cooking",7,"Dustin","male",52,2,218116,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"182",1587,"cooking",7,"Alexis","male",53,3,219708,"probability","0.51",2,"eng","","24","White","2","Perception","No",4.36276666666667
"183",1587,"cooking",7,"Alexis","male",53,3,219708,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"184",1100,"cooking",7,"Kaitlyn","male",54,4,220813,"probability","0.58",2,"eng","","24","White","2","Perception","No",4.36276666666667
"185",1100,"cooking",7,"Kaitlyn","male",54,4,220813,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"186",2032,"cooking",7,"Maria","male",55,5,222848,"probability","0.67",2,"eng","","24","White","2","Perception","No",4.36276666666667
"187",2032,"cooking",7,"Maria","male",55,5,222848,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"188",1583,"beach",8,"Mary","male",57,0,224436,"probability","0.51",2,"eng","","24","White","2","Perception","No",4.36276666666667
"189",1583,"beach",8,"Mary","male",57,0,224436,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"190",10590,"beach",8,"Carlos","male",58,1,235028,"explanation","There were no wave",2,"eng","","24","White","2","Perception","No",4.36276666666667
"191",2599,"beach",8,"Carlos","male",59,2,237633,"probability","0.89",2,"eng","","24","White","2","Perception","No",4.36276666666667
"192",2599,"beach",8,"Carlos","male",59,2,237633,"ungrammatical",NA,2,"eng","","24","White","2","Perception","No",4.36276666666667
"193",2347,"beach",8,"Haley","male",60,3,239984,"probability","0.59",2,"eng","","24","White","2","Perception","No",4.36276666666667
"194",2347,"beach",8,"Haley","male",60,3,239984,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"195",1408,"beach",8,"Jeremy","male",61,4,241396,"probability","0.52",2,"eng","","24","White","2","Perception","No",4.36276666666667
"196",1408,"beach",8,"Jeremy","male",61,4,241396,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"197",1085,"beach",8,"Amy","male",62,5,242484,"probability","0.43",2,"eng","","24","White","2","Perception","No",4.36276666666667
"198",1085,"beach",8,"Amy","male",62,5,242484,"ungrammatical","FALSE",2,"eng","","24","White","2","Perception","No",4.36276666666667
"199",17611,"beach",0,"Jacqueline","male",1,0,378382,"probability","1",3,"eng","","26","Asian","4","I don't know","none",12.64165
